year,quarter_code,quarter_period,region_ar,region_en,index_value,qoq_change_pct,yoy_change_pct
2024,Q1,2024Q1,تبوك,Tabouk,99.32,-1.8,3.9
2024,Q1,2024Q1,حائل,Hail,99.55,-2.7,-2.2
2024,Q1,2024Q1,الحدود الشمالية,Northern Borders,98.48,-3.9,-0.6
2024,Q1,2024Q1,جازان,Jazan,103.74,2.8,4.0
2024,Q1,2024Q1,نجران,Najran,96.69,-1.6,-1.6
2024,Q1,2024Q1,الباحة,Al Baha,82.11,-17.7,-19.3
2024,Q1,2024Q1,الجوف,Al Jouf,89.64,-8.1,-10.9
2024,Q2,2024Q2,عام (المملكة),Kingdom (General),101.79,1.2,1.6
2024,Q2,2024Q2,الرياض,Riyadh,107.53,3.6,7.6
2024,Q2,2024Q2,مكة المكرمة,Makkah,98.22,-0.4,-2.4
2024,Q2,2024Q2,المدينة المنورة,Madinah,99.24,-0.7,-3.5
2024,Q2,2024Q2,القصيم,Al Qaseem,96.38,-0.4,-2.0
2024,Q2,2024Q2,المنطقة الشرقية,Eastern Province,94.18,-2.7,-6.0
2024,Q2,2024Q2,عسير,Aseer,92.62,1.2,-7.9
2024,Q2,2024Q2,تبوك,Tabouk,99.72,0.4,0.0
2024,Q2,2024Q2,حائل,Hail,99.79,0.2,0.2
2024,Q2,2024Q2,الحدود الشمالية,Northern Borders,100.61,2.2,2.2
2024,Q2,2024Q2,جازان,Jazan,102.07,-1.6,4.4
2024,Q2,2024Q2,نجران,Najran,100.2,3.6,-4.7
2024,Q2,2024Q2,الباحة,Al Baha,81.51,-0.7,-23.0
2024,Q2,2024Q2,الجوف,Al Jouf,97.62,8.9,-6.9
2024,Q3,2024Q3,عام (المملكة),Kingdom (General),102.56,0.8,2.6
2024,Q3,2024Q3,الرياض,Riyadh,109.85,2.2,10.2
2024,Q3,2024Q3,مكة المكرمة,Makkah,98.55,0.3,-1.4
2024,Q3,2024Q3,المدينة المنورة,Madinah,99.6,0.4,-1.2
2024,Q3,2024Q3,القصيم,Al Qaseem,97.61,1.3,-3.0
2024,Q3,2024Q3,المنطقة الشرقية,Eastern Province,92.05,-2.3,-8.3
2024,Q3,2024Q3,عسير,Aseer,92.37,-0.3,-9.3
2024,Q3,2024Q3,تبوك,Tabouk,100.14,0.4,-3.4
2024,Q3,2024Q3,حائل,Hail,101.12,1.3,5.0
2024,Q3,2024Q3,الحدود الشمالية,Northern Borders,101.73,1.1,1.7
2024,Q3,2024Q3,جازان,Jazan,100.24,-1.8,-1.3
2024,Q3,2024Q3,نجران,Najran,97.78,-2.4,-0.7
2024,Q3,2024Q3,الباحة,Al Baha,79.73,-2.2,-14.3
2024,Q3,2024Q3,الجوف,Al Jouf,98.05,0.4,0.8
2024,Q4,2024Q4,عام (المملكة),Kingdom (General),104.18,1.6,3.6
2024,Q4,2024Q4,الرياض,Riyadh,113.33,3.2,10.2
2024,Q4,2024Q4,مكة المكرمة,Makkah,98.23,-0.3,-0.5
2024,Q4,2024Q4,المدينة المنورة,Madinah,98.02,-1.6,0.8
2024,Q4,2024Q4,القصيم,Al Qaseem,95.62,-2.0,-3.7
2024,Q4,2024Q4,المنطقة الشرقية,Eastern Province,93.89,2.0,-4.6
2024,Q4,2024Q4,عسير,Aseer,88.55,-4.1,-7.3
2024,Q4,2024Q4,تبوك,Tabouk,102.22,2.1,1.1
2024,Q4,2024Q4,حائل,Hail,103.01,1.9,0.7
2024,Q4,2024Q4,الحدود الشمالية,Northern Borders,101.26,-0.5,-1.2
2024,Q4,2024Q4,جازان,Jazan,99.31,-0.9,-1.6
2024,Q4,2024Q4,نجران,Najran,102.78,5.1,4.6
2024,Q4,2024Q4,الباحة,Al Baha,83.09,4.2,-16.7
2024,Q4,2024Q4,الجوف,Al Jouf,93.48,-4.7,-4.1
2025,Q1,2025Q1,عام (المملكة),Kingdom (General),104.93,0.7,4.3
2025,Q1,2025Q1,الرياض,Riyadh,114.89,1.4,10.7
2025,Q1,2025Q1,مكة المكرمة,Makkah,100.08,1.9,1.5
2025,Q1,2025Q1,المدينة المنورة,Madinah,98.49,0.5,-1.4
2025,Q1,2025Q1,القصيم,Al Qaseem,96.86,1.3,0.1
2025,Q1,2025Q1,المنطقة الشرقية,Eastern Province,91.45,-2.6,-5.5
2025,Q1,2025Q1,عسير,Aseer,87.52,-1.2,-4.4
2025,Q1,2025Q1,تبوك,Tabouk,100.48,-1.7,1.2
